ZONE_N,ZONE_C,SUBZONE_N,SUB_ZONE_C,AGE0-4,AGE5-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85
RIVER VALLEY,RV,ONE TREE HILL,RVSZ01,80,90,90,110,110,100,100,110,150,190,180,150,120,110,90,50,30,40
RIVER VALLEY,RV,OXLEY,RVSZ04,50,60,70,60,70,80,90,120,130,140,110,90,90,80,70,50,30,40
RIVER VALLEY,RV,PATERSON,RVSZ02,10,10,20,10,10,10,20,20,20,30,20,20,10,10,0,10,0,0
ROCHOR,RC,BENCOOLEN,RCSZ09,50,50,40,50,60,80,110,90,110,110,110,130,100,100,50,50,50,50
ROCHOR,RC,FARRER PARK,RCSZ01,90,140,130,130,140,170,180,270,270,240,210,210,230,170,120,80,60,100
ROCHOR,RC,KAMPONG GLAM,RCSZ05,10,10,10,0,10,10,10,10,20,10,10,10,10,10,0,10,10,30
ROCHOR,RC,LITTLE INDIA,RCSZ02,100,110,130,180,180,240,190,270,280,260,280,310,280,280,170,170,90,110
ROCHOR,RC,MACKENZIE,RCSZ06,10,10,10,10,0,0,20,20,20,10,10,10,10,0,0,0,0,0
ROCHOR,RC,MOUNT EMILY,RCSZ07,60,60,70,40,30,60,100,180,180,110,80,60,60,50,20,10,10,20
ROCHOR,RC,ROCHOR CANAL,RCSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCHOR,RC,SELEGIE,RCSZ08,10,10,10,10,10,10,10,30,30,10,20,20,20,10,10,10,10,10
ROCHOR,RC,SUNGEI ROAD,RCSZ03,90,80,110,110,120,140,140,130,150,150,190,180,140,170,130,100,80,40
ROCHOR,RC,VICTORIA,RCSZ10,50,50,50,60,80,130,130,140,150,120,160,170,170,180,130,80,70,60
SELETAR,SL,PULAU PUNGGOL BARAT,SLSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SELETAR,SL,PULAU PUNGGOL TIMOR,SLSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SELETAR,SL,SELETAR,SLSZ04,10,10,10,20,10,0,0,10,40,30,20,10,20,0,0,0,0,0
SELETAR,SL,SELETAR AEROSPACE PARK,SLSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMBAWANG,SB,ADMIRALTY,SBSZ05,950,1020,1010,890,710,950,1210,1340,1460,1150,990,900,670,470,310,210,140,100
SEMBAWANG,SB,SEMBAWANG CENTRAL,SBSZ03,1450,1880,1920,2120,1910,2140,2100,2500,2810,2600,2380,2120,1580,970,500,390,230,200
SEMBAWANG,SB,SEMBAWANG EAST,SBSZ01,150,100,90,70,70,220,190,120,160,110,100,70,50,40,30,20,0,10
